ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.AddPmdRule,Add a PMD rule to a ruleset,"Adds a `<rule ref=""...""/>` reference to PMD ruleset XML files that do not have one yet. When the ruleset already pulls in the whole ruleset file the rule lives in, the rule is enabled by removing the `<exclude name=""...""/>` that was keeping it out rather than by adding a second reference to it.",1,Pmd,Java,,Basic building blocks for transforming Java code.,"[{""name"":""rule"",""type"":""String"",""displayName"":""Rule"",""description"":""The rule to add, as a fully qualified reference naming both the ruleset file and the rule within it. A bare rule name is not enough, since PMD resolves a rule through the ruleset file it lives in."",""example"":""category/java/errorprone.xml/EmptyCatchBlock"",""required"":true}]"
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.ModernizePmd,Modernize a PMD ruleset,"Bring a PMD ruleset XML file up to date with current PMD, by updating the `<rule>` references and `<exclude>` elements to name each rule as PMD knows it today. This runs both the PMD 6 to 7 migration, which replaces the rules PMD 7 deleted and drops the ones deleted without a successor, and the PMD 7 rule renames, which adopt the current name of each rule PMD renamed within the PMD 7 line. Rules whose replacement requires a judgement call, either because PMD split one rule across several successors or because the successor reports something different, are left alone. The result requires PMD 7.27.0 or later; an earlier PMD 7 fails to load a name that its version does not know yet.",65,Pmd,Java,,Basic building blocks for transforming Java code.,
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.Pmd6to7Migration,Migrate a PMD 6 ruleset to PMD 7,"PMD 7 deleted the rules that had been deprecated throughout the PMD 6 line, and PMD refuses to load a ruleset that references a rule it does not know. Update the `<rule>` references and `<exclude>` elements in PMD ruleset XML files to name each deleted rule's successor, and drop the references to rules that were deleted without one. Rules whose behaviour PMD split across several successors, such as `VariableNamingConventions` and the primitive wrapper `*Instantiation` rules, are left alone because picking a single replacement for them requires a judgement call.",50,Pmd,Java,,Basic building blocks for transforming Java code.,
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.Pmd7RuleRenames,Rename PMD rules that were renamed within the PMD 7 line,"PMD renamed a number of rules during the PMD 7 line, keeping the old name as a deprecated alias that PMD still loads but warns about. Update the `<rule>` references and `<exclude>` elements in PMD ruleset XML files to name each rule's current name, so the ruleset stops emitting deprecation warnings and keeps loading once PMD 8 drops the aliases. Only true renames are applied, meaning the cases where PMD kept the old name as an alias pointing at the new one. Rules PMD deprecated in favour of a *different* rule, such as `AvoidCatchingNPE` in favour of the configurable `AvoidCatchingGenericException`, `GenericsNaming` in favour of `TypeParameterNamingConventions`, `UnnecessaryLocalBeforeReturn` in favour of `VariableCanBeInlined`, `UseObjectForClearerAPI` in favour of `ExcessiveParameterList`, and `CheckSkipResult`, `AvoidLosingExceptionInformation` and `UselessOperationOnImmutable` in favour of `UnusedReturnValue`, are left alone, because the successor reports different things and adopting it is a judgement call rather than a rename. The new names require PMD 7.27.0 or later; a ruleset for an earlier PMD 7 fails to load a name that its version does not know yet.",14,Pmd,Java,,Basic building blocks for transforming Java code.,
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.RemovePmdRule,Remove a PMD rule from a ruleset,"Removes both `<rule ref=""...""/>` references to a rule and `<exclude name=""...""/>` elements naming it from PMD ruleset XML files. Intended for rules that PMD deleted without offering a replacement, since PMD fails to load a ruleset that references a rule it does not know.",1,Pmd,Java,,Basic building blocks for transforming Java code.,"[{""name"":""rule"",""type"":""String"",""displayName"":""Rule"",""description"":""The rule to remove, either a fully qualified reference such as `category/java/codestyle.xml/AvoidFinalLocalVariable` or just the rule name, in which case the rule is removed regardless of which ruleset file it is referenced from."",""example"":""category/java/codestyle.xml/AvoidFinalLocalVariable"",""required"":true}]"
maven,io.moderne.recipe:rewrite-pmd,org.openrewrite.java.pmd.ReplacePmdRule,Replace a PMD rule in a ruleset,"Updates `<rule ref=""...""/>` references and `<exclude name=""...""/>` elements in PMD ruleset XML files to name a rule's replacement. An `<exclude>` is only renamed when the replacement lives in the same ruleset file, because an exclusion can only name a rule from the ruleset its enclosing `<rule>` refers to; when the replacement moved to another ruleset file the exclusion no longer names a rule PMD knows, so it is removed instead.",1,Pmd,Java,,Basic building blocks for transforming Java code.,"[{""name"":""oldRule"",""type"":""String"",""displayName"":""Old rule"",""description"":""The rule to replace, either a fully qualified reference such as `category/java/errorprone.xml/MissingBreakInSwitch` or just the rule name, in which case the rule is replaced regardless of which ruleset file it is referenced from."",""example"":""category/java/errorprone.xml/MissingBreakInSwitch"",""required"":true},{""name"":""newRule"",""type"":""String"",""displayName"":""New rule"",""description"":""The rule to replace it with. Give a fully qualified reference when the replacement lives in a different ruleset file; a bare rule name keeps the existing ruleset file."",""example"":""ImplicitSwitchFallThrough"",""required"":true}]"
