Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.jspecify:jspecify:1.0.1,org.jspecify,,NullMarked,1,
org.junit.jupiter:junit-jupiter-api:6.1.3,org.junit.jupiter,,"Disabled, Test",1,
org.openrewrite:rewrite-test:8.90.0-SNAPSHOT,org.openrewrite,,RewriteTest,1,
